Count:  3104
Date:  2013-01-01 00:00:00 | Average Speed:  16.96 | Number of Taxis:  2
Date:  2013-01-02 00:00:00 | Average Speed:  15.51 | Number of Taxis:  3
Date:  2013-01-03 00:00:00 | Average Speed:  18.61 | Number of Taxis:  1
Date:  2013-01-05 00:00:00 | Average Speed:  22.5 | Number of Taxis:  2
Date:  2013-01-08 00:00:00 | Average Speed:  17.2 | Number of Taxis:  1
Date:  2013-01-09 00:00:00 | Average Speed:  13.88 | Number of Taxis:  2
Date:  2013-01-10 00:00:00 | Average Speed:  16.37 | Number of Taxis:  1
Date:  2013-01-11 00:00:00 | Average Speed:  12.21 | Number of Taxis:  1
Date:  2013-01-12 00:00:00 | Average Speed:  10.86 | Number of Taxis:  1
Date:  2013-01-15 00:00:00 | Average Speed:  18.71 | Number of Taxis:  1
Date:  2013-01-17 00:00:00 | Average Speed:  14.42 | Number of Taxis:  2
Date:  2013-01-18 00:00:00 | Average Speed:  17.1 | Number of Taxis:  1
Date:  2013-01-19 00:00:00 | Average Speed:  10.72 | Number of Taxis:  4
Date:  2013-01-20 00:00:00 | Average Speed:  15.27 | Number of Taxis:  1
Date:  2013-01-22 00:00:00 | Average Speed:  13.29 | Number of Taxis:  1
Date:  2013-01-23 00:00:00 | Average Speed:  11.89 | Number of Taxis:  2
Date:  2013-01-24 00:00:00 | Average Speed:  19.05 | Number of Taxis:  2
Date:  2013-01-27 00:00:00 | Average Speed:  20.65 | Number of Taxis:  3
Date:  2013-01-28 00:00:00 | Average Speed:  12.23 | Number of Taxis:  1
Date:  2013-01-29 00:00:00 | Average Speed:  15.07 | Number of Taxis:  2
Date:  2013-01-30 00:00:00 | Average Speed:  13.29 | Number of Taxis:  3
Date:  2013-01-31 00:00:00 | Average Speed:  16.25 | Number of Taxis:  1
Date:  2013-01-01 00:00:00 | Average Speed:  15.49 | Number of Taxis:  8
Date:  2013-01-02 00:00:00 | Average Speed:  12.05 | Number of Taxis:  7
