Location, Time, Number Of Taxis, Average Speed, PM25 Acceptable, Ozone, CO, PM25 Raw, Sky Condition, Relative Humidity, Wind Speed, Wind Direction
CCNY,2013-01-03 00:00:00,6,13.43,,0.02,0.25,,CLR,58, 6,280
CCNY,2013-01-03 01:00:00,16,15.41,,0.018,0.25,,CLR,58, 3,VR
CCNY,2013-01-03 02:00:00,11,18.73,,0.018,0.25,,CLR,58, 0,000
CCNY,2013-01-03 03:00:00,6,16.37,,0.016,0.25,,FEW032,61, 5,VR
CCNY,2013-01-03 04:00:00,6,14.41,,0.015,0.25,,CLR,63, 0,000
CCNY,2013-01-03 05:00:00,4,14.87,,0.01,0.25,,CLR,66, 3,290
CCNY,2013-01-03 06:00:00,8,12.66,,0.012,0.25,,CLR,63, 0,000
CCNY,2013-01-03 07:00:00,27,11.95,,0.008,0.5,,CLR,66, 0,000
CCNY,2013-01-03 08:00:00,26,12.58,,0.01,0.5,,CLR,66, 3,280
CCNY,2013-01-03 09:00:00,8,15.79,,0.012,0.5,,CLR,66, 5,300
CCNY,2013-01-03 10:00:00,12,12.14,,0.01,0.6,,CLR,60, 6,280
CCNY,2013-01-03 11:00:00,18,14.0,,0.014,0.6,,CLR,53, 3,300
CCNY,2013-01-03 12:00:00,19,11.1,,0.023,0.25,,FEW038,49, 8,240
CCNY,2013-01-03 13:00:00,21,12.02,,0.024,0.25,,CLR,45, 9,290
CCNY,2013-01-03 14:00:00,19,11.26,,0.024,0.25,,CLR,43, 3,VR
CCNY,2013-01-03 15:00:00,23,11.08,,0.021,0.25,,CLR,45, 0,000
CCNY,2013-01-03 16:00:00,12,11.03,,0.016,0.25,,FEW100,49, 8,260
CCNY,2013-01-03 17:00:00,35,10.34,,0.014,0.25,,CLR,49,M,M
CCNY,2013-01-03 18:00:00,21,10.93,,0.009,0.25,,SCT095,51, 8,260
CCNY,2013-01-03 19:00:00,17,12.18,,0.007,0.25,,OVC095,49, 6,260
CCNY,2013-01-03 20:00:00,29,13.06,,0.008,0.25,,OVC090,51, 8,270
CCNY,2013-01-03 21:00:00,22,13.69,,0.009,0.25,,OVC080,51,M,M
CCNY,2013-01-03 22:00:00,31,14.31,,0.01,0.25,,OVC065,54, 8,270
CCNY,2013-01-03 23:00:00,31,13.43,,0.006,0.25,,OVC055,56, 7,230
CCNY,2013-01-04 00:00:00,22,14.39,,0.002,0.5,,BKN060,59, 6,VR
CCNY,2013-01-04 01:00:00,7,15.83,,0.002,0.25,,CLR,59, 5,VR
CCNY,2013-01-04 02:00:00,9,12.15,,0.002,0.25,,CLR,59, 6,VR
CCNY,2013-01-04 03:00:00,4,13.79,,0.002,0.25,,CLR,61, 3,VR
CCNY,2013-01-04 04:00:00,6,15.67,,0.006,0.25,,SCT060,61, 5,VR
CCNY,2013-01-04 05:00:00,4,17.22,,0.009,0.25,,OVC050,59, 3,VR
CCNY,2013-01-04 06:00:00,14,13.49,,0.002,0.25,,OVC050,59, 3,VR
CCNY,2013-01-04 07:00:00,28,11.28,,0.002,0.25,,OVC045,59,13,250
CCNY,2013-01-04 08:00:00,24,10.5,,0.002,0.25,,OVC039,59, 5,VR
CCNY,2013-01-04 09:00:00,7,15.63,,0.013,0.25,,OVC045,59, 3,VR
